Sensor Simulator starting (ID: 1, Server: 127.0.0.1:1245, Interval: 29 sec)
Connecting to server...
Connected to server at 127.0.0.1:1245 as sensor node 1
Sending authentication: AUTH sensor_user password123
Sending data: DATA 1 24.09 57.70 1011.59 1745111388
Next transmission at 08:10:17 (29 seconds from now)
Sending data: DATA 1 20.26 40.45 1004.24 1745111417
Next transmission at 08:10:46 (29 seconds from now)
Sending data: DATA 1 25.33 42.96 1015.82 1745111446
Next transmission at 08:11:15 (29 seconds from now)
Sending data: DATA 1 24.42 43.28 1016.55 1745111475
Next transmission at 08:11:44 (29 seconds from now)
Sending data: DATA 1 21.48 53.87 1013.52 1745111504
Next transmission at 08:12:13 (29 seconds from now)
Sending data: DATA 1 18.85 42.09 1007.18 1745111533
Next transmission at 08:12:42 (29 seconds from now)
Sending data: DATA 1 24.36 46.30 1009.65 1745111562
Next transmission at 08:13:11 (29 seconds from now)
Sending data: DATA 1 21.19 57.21 1022.39 1745111591
Next transmission at 08:13:40 (29 seconds from now)
Sending data: DATA 1 19.57 42.52 1020.80 1745111620
Next transmission at 08:14:09 (29 seconds from now)
Sending data: DATA 1 22.64 59.75 1003.39 1745111649
Next transmission at 08:14:38 (29 seconds from now)
Sending data: DATA 1 19.09 53.94 1021.09 1745111678
Next transmission at 08:15:07 (29 seconds from now)
Sending data: DATA 1 23.39 40.47 1021.54 1745111707
Next transmission at 08:15:36 (29 seconds from now)
Sending data: DATA 1 24.01 57.13 1004.51 1745111736
Next transmission at 08:16:05 (29 seconds from now)
Sending data: DATA 1 20.42 51.97 1007.78 1745111765
Next transmission at 08:16:34 (29 seconds from now)
Sending data: DATA 1 17.19 40.93 1021.65 1745111794
Next transmission at 08:17:03 (29 seconds from now)
Sending data: DATA 1 22.45 44.62 1003.75 1745111823
Next transmission at 08:17:32 (29 seconds from now)
Sending data: DATA 1 24.54 59.34 1010.05 1745111852
Next transmission at 08:18:01 (29 seconds from now)
Sending data: DATA 1 17.87 47.72 1007.26 1745111881
Next transmission at 08:18:30 (29 seconds from now)
Sending data: DATA 1 17.56 52.85 1009.78 1745111910
Next transmission at 08:18:59 (29 seconds from now)
Sending data: DATA 1 26.47 44.14 1009.53 1745111939
Next transmission at 08:19:28 (29 seconds from now)
Sending data: DATA 1 26.66 48.33 1003.46 1745111968
Next transmission at 08:19:57 (29 seconds from now)
Sending data: DATA 1 25.70 41.11 1003.93 1745111997
Next transmission at 08:20:26 (29 seconds from now)
Sending data: DATA 1 24.98 55.13 1021.06 1745112026
Next transmission at 08:20:55 (29 seconds from now)
Sending data: DATA 1 25.73 41.97 1013.04 1745112055
Next transmission at 08:21:24 (29 seconds from now)
Sending data: DATA 1 18.12 42.36 1013.97 1745112084
Next transmission at 08:21:53 (29 seconds from now)
Sending data: DATA 1 17.44 53.26 1018.59 1745112113
Next transmission at 08:22:22 (29 seconds from now)
Sending data: DATA 1 17.82 48.35 1017.93 1745112142
Next transmission at 08:22:51 (29 seconds from now)
Sending data: DATA 1 21.34 50.09 1005.65 1745112171
Next transmission at 08:23:20 (29 seconds from now)
Sending data: DATA 1 23.47 51.22 1018.50 1745112200
Next transmission at 08:23:49 (29 seconds from now)
Sending data: DATA 1 26.86 50.15 1022.64 1745112229
Next transmission at 08:24:18 (29 seconds from now)
Sending data: DATA 1 20.12 49.48 1010.97 1745112258
Next transmission at 08:24:47 (29 seconds from now)
Sending data: DATA 1 20.35 46.88 1012.08 1745112287
Next transmission at 08:25:16 (29 seconds from now)
Sending data: DATA 1 20.82 42.84 1007.20 1745112316
Next transmission at 08:25:45 (29 seconds from now)
Sending data: DATA 1 19.85 40.29 1009.17 1745112345
Next transmission at 08:26:14 (29 seconds from now)
Sending data: DATA 1 24.87 42.53 1011.53 1745112374
Next transmission at 08:26:43 (29 seconds from now)
Sending data: DATA 1 20.35 43.42 1004.79 1745112403
Next transmission at 08:27:12 (29 seconds from now)
Sending data: DATA 1 18.15 45.05 1013.14 1745112432
Next transmission at 08:27:41 (29 seconds from now)
Sending data: DATA 1 25.61 53.73 1003.23 1745112461
Next transmission at 08:28:10 (29 seconds from now)
Sending data: DATA 1 26.94 46.67 1014.45 1745112490
Next transmission at 08:28:39 (29 seconds from now)
Sending data: DATA 1 24.69 46.38 1004.60 1745112519
Next transmission at 08:29:08 (29 seconds from now)
Sending data: DATA 1 24.51 52.63 1014.08 1745112548
Next transmission at 08:29:37 (29 seconds from now)
Sending data: DATA 1 18.50 59.33 1020.96 1745112577
Next transmission at 08:30:06 (29 seconds from now)
Sending data: DATA 1 23.04 46.97 1003.80 1745112606
Next transmission at 08:30:35 (29 seconds from now)
Sending data: DATA 1 25.14 52.67 1004.09 1745112635
Next transmission at 08:31:04 (29 seconds from now)
Sending data: DATA 1 18.22 48.40 1006.62 1745112664
Next transmission at 08:31:33 (29 seconds from now)

Received signal 2, shutting down...
Sensor simulator shutdown complete
ATA 1 17.07 47.07 1004.49 1745111793
Next transmission at 08:16:42 (9 seconds from now)
Sending data: DATA 1 22.24 40.64 1013.63 1745111802
Next transmission at 08:16:51 (9 seconds from now)
Sending data: DATA 1 24.22 41.12 1013.40 1745111811
Next transmission at 08:17:00 (9 seconds from now)
Sending data: DATA 1 25.56 55.98 1022.80 1745111820
Next transmission at 08:17:09 (9 seconds from now)
Sending data: DATA 1 23.82 58.61 1013.87 1745111829
Next transmission at 08:17:18 (9 seconds from now)
Sending data: DATA 1 18.41 45.47 1021.45 1745111838
Next transmission at 08:17:27 (9 seconds from now)
Sending data: DATA 1 22.31 50.13 1012.01 1745111847
Next transmission at 08:17:36 (9 seconds from now)
Sending data: DATA 1 23.22 44.75 1015.35 1745111856
Next transmission at 08:17:45 (9 seconds from now)
Sending data: DATA 1 23.50 57.84 1004.16 1745111865
Next transmission at 08:17:54 (9 seconds from now)
Sending data: DATA 1 25.95 58.55 1020.73 1745111874
Next transmission at 08:18:03 (9 seconds from now)
Sending data: DATA 1 26.08 58.68 1007.80 1745111883
Next transmission at 08:18:12 (9 seconds from now)
Sending data: DATA 1 26.82 49.17 1008.45 1745111892
Next transmission at 08:18:21 (9 seconds from now)
Sending data: DATA 1 22.13 43.60 1009.56 1745111901
Next transmission at 08:18:30 (9 seconds from now)
Sending data: DATA 1 17.33 40.73 1005.54 1745111910
Next transmission at 08:18:39 (9 seconds from now)
Sending data: DATA 1 17.23 54.37 1004.15 1745111919
Next transmission at 08:18:48 (9 seconds from now)
Sending data: DATA 1 22.67 57.19 1009.62 1745111928
Next transmission at 08:18:57 (9 seconds from now)
Sending data: DATA 1 21.89 47.80 1019.74 1745111937
Next transmission at 08:19:06 (9 seconds from now)
Sending data: DATA 1 26.40 40.24 1004.50 1745111946
Next transmission at 08:19:15 (9 seconds from now)
Sending data: DATA 1 22.57 53.25 1022.34 1745111955
Next transmission at 08:19:24 (9 seconds from now)
Sending data: DATA 1 23.15 51.15 1020.89 1745111964
Next transmission at 08:19:33 (9 seconds from now)
Sending data: DATA 1 22.02 49.30 1019.57 1745111973
Next transmission at 08:19:42 (9 seconds from now)
Sending data: DATA 1 24.42 48.94 1008.74 1745111982
Next transmission at 08:19:51 (9 seconds from now)
Sending data: DATA 1 17.14 59.20 1012.35 1745111991
Next transmission at 08:20:00 (9 seconds from now)
Sending data: DATA 1 20.42 59.86 1013.08 1745112000
Next transmission at 08:20:09 (9 seconds from now)
Sending data: DATA 1 21.69 40.33 1007.45 1745112009
Next transmission at 08:20:18 (9 seconds from now)
Sending data: DATA 1 22.27 51.66 1004.64 1745112018
Next transmission at 08:20:27 (9 seconds from now)
Sending data: DATA 1 25.57 41.45 1012.44 1745112027
Next transmission at 08:20:36 (9 seconds from now)
Sending data: DATA 1 23.95 40.24 1012.68 1745112036
Next transmission at 08:20:45 (9 seconds from now)
Sending data: DATA 1 24.70 51.38 1005.92 1745112045
Next transmission at 08:20:54 (9 seconds from now)
Sending data: DATA 1 24.37 43.68 1017.07 1745112054
Next transmission at 08:21:03 (9 seconds from now)
Sending data: DATA 1 23.31 53.71 1006.37 1745112063
Next transmission at 08:21:12 (9 seconds from now)
Sending data: DATA 1 21.60 48.55 1015.30 1745112072
Next transmission at 08:21:21 (9 seconds from now)
Sending data: DATA 1 24.47 48.84 1014.50 1745112081
Next transmission at 08:21:30 (9 seconds from now)
Sending data: DATA 1 19.14 55.68 1014.36 1745112090
Next transmission at 08:21:39 (9 seconds from now)
Sending data: DATA 1 24.18 45.07 1014.69 1745112099
Next transmission at 08:21:48 (9 seconds from now)
Sending data: DATA 1 26.41 55.60 1006.36 1745112108
Next transmission at 08:21:57 (9 seconds from now)
Sending data: DATA 1 17.22 52.75 1007.81 1745112117
Next transmission at 08:22:06 (9 seconds from now)
Sending data: DATA 1 21.94 46.64 1008.05 1745112126
Next transmission at 08:22:15 (9 seconds from now)
Sending data: DATA 1 26.78 42.03 1019.43 1745112135
Next transmission at 08:22:24 (9 seconds from now)
Sending data: DATA 1 18.24 56.77 1003.10 1745112144
Next transmission at 08:22:33 (9 seconds from now)
Sending data: DATA 1 25.28 49.39 1016.82 1745112153
Next transmission at 08:22:42 (9 seconds from now)
Sending data: DATA 1 26.96 58.58 1005.37 1745112162
Next transmission at 08:22:51 (9 seconds from now)
Sending data: DATA 1 23.11 53.52 1014.21 1745112171
Next transmission at 08:23:00 (9 seconds from now)
Sending data: DATA 1 18.86 57.81 1009.89 1745112180
Next transmission at 08:23:09 (9 seconds from now)
Sending data: DATA 1 24.54 52.17 1014.96 1745112189
Next transmission at 08:23:18 (9 seconds from now)
Sending data: DATA 1 20.39 50.98 1010.56 1745112198
Next transmission at 08:23:27 (9 seconds from now)
Sending data: DATA 1 22.07 51.42 1003.31 1745112207
Next transmission at 08:23:36 (9 seconds from now)
Sending data: DATA 1 24.47 41.31 1009.95 1745112216
Next transmission at 08:23:45 (9 seconds from now)
Sending data: DATA 1 27.00 40.86 1011.99 1745112225
Next transmission at 08:23:54 (9 seconds from now)
Sending data: DATA 1 25.21 43.35 1008.75 1745112234
Next transmission at 08:24:03 (9 seconds from now)
Sending data: DATA 1 25.26 59.90 1018.14 1745112243
Next transmission at 08:24:12 (9 seconds from now)
Sending data: DATA 1 22.17 59.81 1016.72 1745112252
Next transmission at 08:24:21 (9 seconds from now)
Sending data: DATA 1 23.36 52.04 1010.24 1745112261
Next transmission at 08:24:30 (9 seconds from now)
Sending data: DATA 1 18.96 55.76 1008.05 1745112270
Next transmission at 08:24:39 (9 seconds from now)
Sending data: DATA 1 22.41 50.85 1020.22 1745112279
Next transmission at 08:24:48 (9 seconds from now)
Sending data: DATA 1 18.39 57.63 1011.19 1745112288
Next transmission at 08:24:57 (9 seconds from now)
Sending data: DATA 1 22.17 47.76 1022.62 1745112297
Next transmission at 08:25:06 (9 seconds from now)
Sending data: DATA 1 22.32 42.71 1003.92 1745112306
Next transmission at 08:25:15 (9 seconds from now)
Sending data: DATA 1 25.80 42.70 1004.79 1745112315
Next transmission at 08:25:24 (9 seconds from now)
Sending data: DATA 1 20.29 59.12 1008.13 1745112324
Next transmission at 08:25:33 (9 seconds from now)
Sending data: DATA 1 23.17 55.65 1008.03 1745112333
Next transmission at 08:25:42 (9 seconds from now)
Sending data: DATA 1 20.74 45.99 1007.84 1745112342
Next transmission at 08:25:51 (9 seconds from now)
Sending data: DATA 1 17.60 58.71 1019.88 1745112351
Next transmission at 08:26:00 (9 seconds from now)
Sending data: DATA 1 21.22 42.63 1015.64 1745112360
Next transmission at 08:26:09 (9 seconds from now)
Sending data: DATA 1 23.75 53.45 1006.48 1745112369
Next transmission at 08:26:18 (9 seconds from now)
Sending data: DATA 1 22.36 56.23 1004.11 1745112378
Next transmission at 08:26:27 (9 seconds from now)
Sending data: DATA 1 26.45 46.57 1011.87 1745112387
Next transmission at 08:26:36 (9 seconds from now)
Sending data: DATA 1 26.26 57.21 1014.58 1745112396
Next transmission at 08:26:45 (9 seconds from now)
Sending data: DATA 1 26.72 54.82 1017.28 1745112405
Next transmission at 08:26:54 (9 seconds from now)
Sending data: DATA 1 17.61 41.40 1016.40 1745112414
Next transmission at 08:27:03 (9 seconds from now)
Sending data: DATA 1 20.18 53.75 1012.05 1745112423
Next transmission at 08:27:12 (9 seconds from now)
Sending data: DATA 1 22.69 41.23 1018.05 1745112432
Next transmission at 08:27:21 (9 seconds from now)
Sending data: DATA 1 25.11 42.43 1016.75 1745112441
Next transmission at 08:27:30 (9 seconds from now)
Sending data: DATA 1 23.55 50.88 1019.38 1745112450
Next transmission at 08:27:39 (9 seconds from now)
Sending data: DATA 1 19.87 44.37 1012.83 1745112459
Next transmission at 08:27:48 (9 seconds from now)
Sending data: DATA 1 21.61 55.08 1009.06 1745112468
Next transmission at 08:27:57 (9 seconds from now)
Sending data: DATA 1 22.16 53.99 1015.63 1745112477
Next transmission at 08:28:06 (9 seconds from now)
Sending data: DATA 1 26.60 52.50 1012.84 1745112486
Next transmission at 08:28:15 (9 seconds from now)
Sending data: DATA 1 22.39 51.94 1007.66 1745112495
Next transmission at 08:28:24 (9 seconds from now)
Sending data: DATA 1 19.53 53.17 1009.06 1745112504
Next transmission at 08:28:33 (9 seconds from now)
Sending data: DATA 1 26.23 59.53 1022.81 1745112513
Next transmission at 08:28:42 (9 seconds from now)
Sending data: DATA 1 20.76 50.91 1004.04 1745112522
Next transmission at 08:28:51 (9 seconds from now)
Sending data: DATA 1 18.28 47.14 1006.47 1745112531
Next transmission at 08:29:00 (9 seconds from now)
Sending data: DATA 1 25.16 40.24 1017.34 1745112540
Next transmission at 08:29:09 (9 seconds from now)
Sending data: DATA 1 23.35 45.98 1021.71 1745112549
Next transmission at 08:29:18 (9 seconds from now)
Sending data: DATA 1 18.27 55.21 1016.80 1745112558
Next transmission at 08:29:27 (9 seconds from now)
Sending data: DATA 1 21.30 45.54 1010.78 1745112567
Next transmission at 08:29:36 (9 seconds from now)
Sending data: DATA 1 17.61 44.74 1003.28 1745112576
Next transmission at 08:29:45 (9 seconds from now)
Sending data: DATA 1 22.53 55.51 1015.23 1745112585
Next transmission at 08:29:54 (9 seconds from now)
